topic,url,index,ratings,total,snapshot,title
arts_entertainment,http://en.wikipedia.org/wiki/Adam_Lambert,1,"0,0,0,0,2",2,/static/snapshots/l/url1.jpg,"Adam Lambert - Wikipedia, the free encyclopedia"
arts_entertainment,http://www.last.fm/music/Adam+Lambert,2,"0,0,0,1,1",2,/static/snapshots/l/url2.jpg,"Adam Lambert — Songs, Albums, Pictures and Radio — Last.fm"
arts_entertainment,http://en.wikipedia.org/wiki/Lambert-Sigisbert_Adam,3,"0,1,0,0,1",2,/static/snapshots/l/url3.jpg,"Lambert-Sigisbert Adam - Wikipedia, the free encyclopedia"
culture_politics,http://en.wikipedia.org/wiki/Floyd_Landis,4,"0,0,0,0,2",2,/static/snapshots/l/url4.jpg,"Floyd Landis - Wikipedia, the free encyclopedia"
sports,http://simple.wikipedia.org/wiki/Floyd_Landis,5,"0,0,0,0,2",2,/static/snapshots/l/url5.jpg,"Floyd Landis - Simple English Wikipedia, the free encyclopedia"
science_technology,http://en.wikipedia.org/wiki/Floyd_Landis_doping_case,6,"0,0,0,0,2",2,/static/snapshots/l/url6.jpg,"Floyd Landis doping case - Wikipedia, the free encyclopedia"
arts_entertainment,http://www.answers.com/topic/floyd-landis,7,"0,0,0,1,1",2,/static/snapshots/l/url7.jpg,Floyd Landis: Information from Answers.com
religion,http://www.ladygaga.com/,8,"0,0,0,0,2",2,/static/snapshots/l/url8.jpg,LADY GAGA | BORN THIS WAY BALL
arts_entertainment,http://en.wikipedia.org/wiki/Lady_Gaga,9,"0,0,0,0,2",2,/static/snapshots/l/url9.jpg,"Lady Gaga - Wikipedia, the free encyclopedia"
arts_entertainment,http://simple.wikipedia.org/wiki/Lady_GaGa,10,"0,0,0,0,2",2,/static/snapshots/l/url10.jpg,"Lady Gaga - Simple English Wikipedia, the free encyclopedia"
arts_entertainment,http://www.answers.com/topic/lady-gaga,11,"0,0,0,1,1",2,/static/snapshots/l/url11.jpg,Lady Gaga: Information from Answers.com
culture_politics,http://www.people.com/people/lady_gaga,12,"0,0,0,1,1",2,/static/snapshots/l/url12.jpg,Lady Gaga : People.com
