Topic,Query,Result Rank,URL,Likert Rating - Microsoft,Likert Rating - EPFL
Celebrities,adam lambert,1,http://en.wikipedia.org/wiki/Adam_Lambert,5,5
Celebrities,adam lambert,12,http://www.last.fm/music/Adam+Lambert,4,5
Celebrities,adam lambert,25,http://en.wikipedia.org/wiki/Lambert-Sigisbert_Adam,2,5
Celebrities,floyd landis,1,http://en.wikipedia.org/wiki/Floyd_Landis,5,5
Celebrities,floyd landis,4,http://simple.wikipedia.org/wiki/Floyd_Landis,5,5
Celebrities,floyd landis,6,http://en.wikipedia.org/wiki/Floyd_Landis_doping_case,5,5
Celebrities,floyd landis,8,http://www.answers.com/topic/floyd-landis,4,5
Celebrities,lady gaga,1,http://www.ladygaga.com/,5,5
Celebrities,lady gaga,2,http://en.wikipedia.org/wiki/Lady_Gaga,5,5
Celebrities,lady gaga,7,http://simple.wikipedia.org/wiki/Lady_GaGa,5,5
Celebrities,lady gaga,8,http://www.answers.com/topic/lady-gaga,4,5
Celebrities,lady gaga,14,http://www.people.com/people/lady_gaga,4,5
Celebrities,lady gaga,15,http://www.rhapsody.com/lady-gaga,5,5
Celebrities,lady gaga,29,http://www.imdb.com/name/nm3078932/,5,5
Celebrities,michael jackson,1,http://en.wikipedia.org/wiki/Michael_Jackson,5,5
Celebrities,michael jackson,3,http://www.cnn.com/SPECIALS/2009/michael.jackson.remembered,5,5
Celebrities,michael jackson,4,http://www.imdb.com/name/nm0001391/,5,5
Celebrities,michael jackson,7,http://simple.wikipedia.org/wiki/Michael_Jackson,5,5
Celebrities,michael jackson,20,http://www.michaeljackson.com/us/this-is-it,4,5
Celebrities,michael jackson,30,http://www.msnbc.msn.com/id/31552029/ns/entertainment-music/,5,5
Celebrities,michael jackson,35,http://www.biography.com/articles/Michael-Jackson-38211,5,5
Celebrities,nadya suleman,2,http://en.wikipedia.org/wiki/Suleman_octuplets,5,5
Celebrities,nadya suleman,20,http://www.imdb.com/name/nm3319257/,5,5
Environment,cap-and-trade,1,http://en.wikipedia.org/wiki/Emissions_trading,5,5
Environment,cap-and-trade,2,http://www.epa.gov/captrade/,5,5
